 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
    50        1      6.150909E-03     5.709525E-04
 --------------------------------------------------
 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      1.268542E+02     2.778676E+01
     2        1      1.353159E+01     1.001579E+04
     3        1      1.575497E+00     3.259104E+03
     4        1      2.671794E-01     8.951608E+02
     5        1      1.720720E-01     2.938629E+02
     6        1      1.607292E-01     3.026435E+01
     7        1      1.305906E-01     9.884602E+01
     8        1      1.297854E-01     2.090742E+01
     9        1      1.051899E-01     1.693275E+02
    10        1      1.015232E-01     4.436461E+01
    11        1      8.784377E-02     9.115660E+01
    12        1      8.717791E-02     2.065843E+01
    13        1      6.911581E-02     2.784031E+01
    14        1      3.211580E-02     7.292592E+00
    15        7      3.205045E-02     6.688583E+00
    16        1      2.538270E-02     7.771869E+01
    17        1      2.474796E-02     4.575119E+01
    18        1      2.458836E-02     1.307074E+01
    19        1      2.321689E-02     7.260808E+01
    20        1      2.256961E-02     2.272011E+01
    21        1      2.171768E-02     5.996974E+01
    22        1      2.070823E-02     4.991722E+00
    23        1      2.066382E-02     6.596480E+01
    24        1      2.055368E-02     1.669212E+01
    25        1      1.962413E-02     1.935060E+01
    26        1      1.883939E-02     6.293745E+01
    27        1      1.855170E-02     9.576478E+00
    28        1      8.964919E-03     2.678117E+00
    29        1      6.778593E-03     9.802910E-01
    30        1      6.496490E-03     3.328960E-01
    31        1      6.462747E-03     1.021030E-01
    32        1      6.428161E-03     4.572120E-02
    33        1      6.404207E-03     4.685041E-02
    34        1      6.296364E-03     1.811641E-01
    35        1      6.296188E-03     3.510335E-02
    36        1      6.282968E-03     3.430684E-02
    37        1      6.232143E-03     1.460613E-01
    38        1      6.232141E-03     3.054611E-02
    39        1      6.179440E-03     2.093657E-01
    40        1      6.179437E-03     6.682539E-02
    41        1      6.176560E-03     1.472505E-02
    42        1      6.174009E-03     1.354512E-02
    43        1      6.171572E-03     1.350745E-02
    44        1      6.169800E-03     1.282714E-02
    45        1      6.167173E-03     1.754734E-02
    46        1      6.160016E-03     4.705360E-02
    47        1      6.160015E-03     9.486074E-03
    48        1      6.159023E-03     8.405810E-03
